Transaction_ID,Date,Year,Month,Quarter,Department,Region,Product_Category,Customer_Segment,Revenue,COGS,Operating_Expense,Budget_Revenue,Budget_COGS,Budget_Expense
TXN00363,1/01/2024,2024,1,Q1,Administration,Wellington,Support Services,Individual,7672.83,2831.66,547.71,8274.63,2974.54,565.39
TXN01112,1/01/2024,2024,1,Q1,Operations,Wellington,Consulting,Government,28698.78,12269.5,2453.57,26906.42,12140.92,2395.8
TXN01122,1/01/2024,2024,1,Q1,Customer Service,Auckland,Software,Government,27165.88,10161.17,2404.83,25976.98,10231.73,2405.8
TXN01316,1/01/2024,2024,1,Q1,Operations,Tauranga,Software,Corporate,19317.19,6614.95,1430.11,20159.52,6852.16,1464.04
TXN00031,2/01/2024,2024,1,Q1,Marketing,Hamilton,Support Services,Individual,6833.38,2337.87,886.94,7005.85,2318.35,894.02
TXN01393,2/01/2024,2024,1,Q1,Customer Service,Auckland,Training,Government,7788.85,3607.01,663.37,7489.98,3588.18,652.01
TXN01581,2/01/2024,2024,1,Q1,Sales,Tauranga,Software,SME,16812.07,5698.82,1710.05,16664.68,5892.33,1837.77
TXN00057,3/01/2024,2024,1,Q1,Operations,Christchurch,Consulting,Corporate,23507.78,9981.78,1835.98,22888.76,10403.9,1900.97
TXN01716,3/01/2024,2024,1,Q1,Sales,Auckland,Hardware,Government,16476.7,10459.1,1614.16,15751.41,10604.39,1660.24
TXN01666,4/01/2024,2024,1,Q1,IT,Auckland,Professional Services,SME,18379.47,7830.52,1830.72,18187.86,7918.03,1807.79
TXN00036,6/01/2024,2024,1,Q1,Customer Service,Hamilton,Professional Services,Government,11464.15,4886.93,945.41,10576.59,4602.77,930.78
TXN01358,6/01/2024,2024,1,Q1,Administration,Tauranga,Consulting,Individual,10040.5,4183.48,782.71,9699.01,4125.28,800.81
TXN00407,7/01/2024,2024,1,Q1,Sales,Auckland,Hardware,SME,24768.43,16641.19,2361.08,24451.44,17145.78,2202.07
TXN00482,7/01/2024,2024,1,Q1,Operations,Tauranga,Consulting,SME,24533.6,10061.29,2028.39,24334.52,9882.67,2147.4
TXN00794,7/01/2024,2024,1,Q1,Administration,Christchurch,Software,Corporate,20116.75,7698.61,1530.21,19635.82,7546.04,1558.32
TXN00895,8/01/2024,2024,1,Q1,Operations,Tauranga,Support Services,Corporate,17788.35,6667.42,1433.09,17174.03,6883.89,1400.2
TXN01605,8/01/2024,2024,1,Q1,Sales,Auckland,Software,Government,30152.63,9057.13,2995.12,30059.47,9230.98,3043.27
TXN01648,8/01/2024,2024,1,Q1,Operations,Wellington,Consulting,SME,30530.46,12314.72,2485.16,30506.02,12525.08,2602.84
TXN01873,8/01/2024,2024,1,Q1,Sales,Auckland,Software,SME,19289.16,6569.94,1974.16,18890.27,6977.91,2040.98
